commit	success_rate	ever_rate	status	description
cf2ff8c	0.45	0.45	keep	baseline (무수정)
444d1b0	0.50	0.50	keep	grasp 폐루프 강하(droop 헛닫힘 fix)
6b8889c	0.55	0.55	keep	grasp 강하 단조화(oscillation·bulldoze fix)
b98e751	0.50	0.50	discard	wrist_flex 벌점 — planned wf≠measured droop, 미회복+ep15 회귀
f322fe0	0.55	0.55	discard	joint-space full-vector 보상 — 동률·lateral 스윙 bulldoze(ep4/5/9 큐브 5cm 밀림)
48ac758	0.55	0.55	discard	wrist-only 보상 — 동률; ep4/9 froze(droop=shoulder/elbow far-reach), ep5 큐브밀림
8bbe93c	0.50	0.50	discard	open 개구 47→65 — 하락, Mode B 미개선·ep15 flip
5e5d34c	0.45	0.45	discard	grav comp gain1 — URDF 관성 과소로 보정 미약(ep4 z불변)·전궤적 교란
40e1e77	0.60	0.60	keep	elevation-체인 적분 feed-forward droop 보상
f04c109	0.60	0.60	keep	near-bowl swept_clear 완화 — ep7/11 dead-zone→graspable(Mode B 편입), correct enabler(score 동률=noise)
5480ccf	0.50	0.50	discard	3D FF 트리거 — solver err 이미 ~1mm(frame 오해)라 Mode B 무발동, OK 케이스 교란
a1f5xxx	0.60	0.60	discard	delta_bias 3mm — Mode B 미개선(c_hat=pan평면이라 ρ-dependent 비대칭 못잡음), killed
837f754	0.65	0.65	keep	tcp_dy -0.019→-0.010 — ρ-aware Mode B fix, ep7/11 recovered
302ec22	0.60	0.60	discard	tcp_dy -0.005 과다 — ep2/13 잡았으나 ep6/8/17 PASS 파손(단일 global tcp_dy 한계)
c5c7972	0.65	0.65	keep	헛닫힘 재파지 탐색 — ep13 recovered(+12mm), g-rise 로 mechanism 검증, ep6=noise
6db18ed	0.60	0.60	discard	retry_max 4 — marginal catch(g~14) noise 로 overshoot, ep13/19 파손
cc90a9e	0.50	0.50	discard	z_g 0.05 deeper — tip-desk 접촉(경고 confirmed), ep7/17/19 파손
92eaac4	0.65	0.65	discard	재접근 재파지 — grip g=20 partial(edge contact) 후 lift slip, gripper-cube geometry 한계
9896af2	0.55	0.55	discard	z over-reach — 방향 틀림(undershoot=outward not z)·marginal PASS false-trigger 파손
bec5b14	0.75	0.75	keep	헛닫힘 outward 재파지 — ep14/15 marginal recovered, catch12 no false-trigger
e616ed6	0.65	0.65	discard	z-down 추가 — ep14/15 파손(과하강), ep13 미회복. outward-only 가 best
8bef12c	0.65	0.65	discard	re-approach 느려 marginal timeout/disturb(ep6/17 파손), ep2/13 direction 여전히 틀림
4cbae91	0.60	0.60	discard	adaptive gradient — small-lift+flip+5retry 가 marginal cluster(ep14/15/17) 파손, ep2/13 미회복. 단순 outward-lateral 이 robust optimum
0278bd5	0.65	0.65	discard	post-lift verify — thresh/timing false-trigger marginal(ep14/17), 재파지 outward 방향 ep4/5/9 미회복
93e545e	0.65	0.65	discard	gentle lift leg×1.8 — marginal cube 예산초과 timeout(ep14/17 파손), ep4/5/9 미회복
DEBUG	0.75	0.75	discard	hover wrist-cam 검출 불안정(n 3~23566, off-center PASS/FAIL 미분리)·FK mismatch 는 descend 서 발생해 hover 서 안보임 → 단순 CV visual servo 불가
5b317a3	0.00	0.00	crash	follower_calibration B offset — 전파괴 0%(through ep11)+timeout, device-encoder offset ≠ pink-URDF↔sim-USD 모델 mismatch
abe8ace	0.65	0.65	discard	full-vector FF — ep4/9 여전히 무강하(hard limit 확정, singularity 아님)+marginal(ep14/15) 파손. elevation-only 가 best
CALIB	0.65	0.65	analysis	 held-cube=simTCP 981프레임 calib: FK mismatch config-dependent(raw 18mm RMS, linear-in-q 잔차 7.8mm>tol). ep2/13 partial-fittable, ep4/9 는 별개 reach limit(FF windup)
exp28	541d23d(reverted)	0.70	0.70	no-op	FK 선형보정 hold-fit: grasp config 전부 외삽>30mm cap→APPLIED 0/20. hold(팔↑)↔grasp(팔↓) q-region 불연속, mm은 hold서만 관측가능(chicken-egg 물리레벨 확정)
exp29	reverted	0.65	0.65	regression	ρ-gated closing-axis 재파지: 큰|ρ| fail을 ±closing-axis(8/16mm) 탐색으로 회복 시도. 16회 발동했으나 ep4/5/9/13/14 미회복+ep17 파손. large-ρ miss는 closing-axis lateral 아님(가설 기각)
exp30	reverted	0.60	0.60	regression	cube_face_yaw(6-face top-edge 추출, atan2 z-yaw 대체): ep2/4/5/9/13 불변(yaw무관 확정=good face)+ep6/15/16 파손. ★grasp_sweep 17/17 lift(ρ-39°포함)=기하 무죄→fail은 execution/input. rho-aware-sweep tooling도 함께 제거됨
